Identity,Link,Location,Area,Beds,Baths,Price,Accessible by Road,Balloted,Boundary Lines,Boundary Wall,Corner,Disputed,Electricity,File,Land Fertility,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Park Facing,Perimeter Fencing,Possesion,Security Staff,Sewerage,Sui Gas,Tube Wells,Water Supply,Distance From Airport (kms)
Residential Plot 45464005,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_4_own_a_residential_plot_in_511_square_yards_karachi-45464005-10013-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 4 Residential Plots,511.0,0.0,0.0,20000000.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47089576,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_8_a_stunning_prime_location_residential_plot_is_up_for_grabs_in_bahria_town_-_precinct_8_karachi-47089576-10016-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 8 Residential Plots,56789.01234,0.0,0.0,8500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47240087,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_14_in_karachi_you_can_find_the_perfect_residential_plot_for_sale-47240087-10024-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 14 Residential Plots,125.0,0.0,0.0,5000000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47188198,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_26_centrally_located_residential_plot_in_bahria_town_-_precinct_26_is_available_for_sale-47188198-10039-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 26 Residential Plots,125.0,0.0,0.0,3000000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47133505,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_15_prime_location_125_square_yards_residential_plot_in_bahria_town_-_precinct_15_best_option-47133505-10025-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 15 Residential Plots,125.0,0.0,0.0,4800000.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
Commercial Plot 46897838,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_1_avenue_1_commercial_plot-46897838-10007-2.html,Karachi Commercial Plots > Bahria Town Karachi Commercial Plots > Bahria Town - Precinct 1 Commercial Plots,133.0,0.0,0.0,45000000.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1.0
Residential Plot 47168289,https://www.zameen.com/Property/bahria_paradise_bahria_paradise_-_precinct_48_prime_location_250_square_yards_residential_plot_available_for_sale_in_bahria_town_-_precinct_48_karachi-47168289-12067-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Paradise Residential Plots > Bahria Paradise - Precinct 48 Residential Plots,250.0,0.0,0.0,7000000.0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0.0
Residential Plot 46844384,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_10-b_in_bahria_town_-_precinct_10-b_125_square_yards_residential_plot_for_sale-46844384-18126-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 10-B Residential Plots,125.0,0.0,0.0,3500000.0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0.0
Residential Plot 47226996,https://www.zameen.com/Property/bahria_town_precinct_15_bahria_town_-_precinct_15-b_prime_location_125_sqyds_plot_available_in_precinct-15b_bahria_town_karachi_is_available_for_sale-47226996-10697-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 15 Residential Plots > Bahria Town - Precinct 15-B Residential Plots,125.0,0.0,0.0,2400000.0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1.0
Residential Plot 47208659,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_16_250_square_yard_plot_for_sale_in_precinct_16_bahria_town_karachi-47208659-10027-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 16 Residential Plots,250.0,0.0,0.0,8000000.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0.0
Residential Plot 47128469,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_10-b_residential_plot_for_sale_in_bahria_town_-_precinct_10-b_karachi-47128469-18126-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 10-B Residential Plots,56789.01234,0.0,0.0,4000000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1.0
Residential Plot 46661577,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_32_become_owner_of_your_prime_location_residential_plot_today_which_is_centrally_located_in_bahria_town_-_precinct_32_in_karachi-46661577-11687-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 32 Residential Plots,250.0,0.0,0.0,4000000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47298858,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_23_bahria_town_karachi_125_square_yards_residential_plot_for_sale-47298858-10036-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 23 Residential Plots,125.0,0.0,0.0,2800000.0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1.0
Residential Plot 46928316,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_24_ideal_location_125_sq_yards_residential_plot_available_for_sale_in_precinct_24_bahria_town_karachi-46928316-10037-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 24 Residential Plots,125.0,0.0,0.0,2200000.0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0.0
Residential Plot 47164476,https://www.zameen.com/Property/bahria_town_precinct_11_bahria_town_-_precinct_11-b_best_investor_opportunity_plots_available_for_sale_in_precinct-11b_near_villas_ready_for_construction-47164476-10021-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 11 Residential Plots > Bahria Town - Precinct 11-B Residential Plots,125.0,0.0,0.0,3800000.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1.0
Residential Plot 47057865,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_27-a_500_square_yards_plot_up_for_sale_in_bahria_town_karachi_precinct_27-a-47057865-10041-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 27-A Residential Plots,500.0,0.0,0.0,7800000.0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0.0
Residential Plot 46576923,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_33_want_to_buy_a_residential_plot_in_karachi-46576923-11857-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 33 Residential Plots,500.0,0.0,0.0,4500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 46979561,https://www.zameen.com/Property/bahria_sports_city_bahria_town_-_precinct_36_prime_500_sq_yd_plot_for_sale_in_bahria_town_karachi_-_your_dream_investment_opportunity-46979561-11877-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Sports City Residential Plots > Bahria Town - Precinct 36 Residential Plots,500.0,0.0,0.0,9500000.0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1.0
Residential Plot 47031691,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_26-a_precinct_26-a_residential_plot_of_125_sq_yd_near_main_jinnah_avenue_400_ft_wide_road_in_bahria_town_karachi-47031691-11733-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 26-A Residential Plots,125.0,0.0,0.0,3100000.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0.0
Residential Plot 47051551,https://www.zameen.com/Property/bahria_town_precinct_15_bahria_town_-_precinct_15-a_bahria_town_karachi_precinct_15a_125_sq_yard_plot-47051551-10026-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 15 Residential Plots > Bahria Town - Precinct 15-A Residential Plots,125.0,0.0,0.0,2800000.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 47189515,https://www.zameen.com/Property/bahria_town_karachi_bahria_midway_commercial_reasonably-priced_prime_location_133_square_yards_commercial_plot_in_bahria_midway_commercial_karachi_is_available_as_of_now-47189515-10615-2.html,Karachi Commercial Plots > Bahria Town Karachi Commercial Plots > Bahria Midway Commercial Commercial Plots,133.0,0.0,0.0,35000000.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
Residential Plot 47089564,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_10-b_125_square_yards_residential_plot_for_sale_in_bahria_town_-_precinct_10-b_karachi-47089564-18126-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 10-B Residential Plots,56789.01234,0.0,0.0,4000000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 46888478,https://www.zameen.com/Property/bahria_town_precinct_12_bahria_town_-_ali_block_125_square_yards_residential_plot_for_sale_is_available_in_bahria_town_-_ali_block-46888478-10023-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 12 Residential Plots > Bahria Town - Ali Block Residential Plots,56789.01234,0.0,0.0,4800000.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
Residential Plot 46570436,https://www.zameen.com/Property/bahria_town_karachi_bahria_greens_prime_location-46570436-19066-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Greens Residential Plots,75.0,0.0,0.0,1500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 46964532,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_6_272sq_yds_plot_for_sale_at_most_prestigious_location_of_bahria_town_karachi-46964532-10014-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 6 Residential Plots,272.0,0.0,0.0,8500000.0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1.0
Residential Plot 47013492,https://www.zameen.com/Property/bahria_paradise_bahria_paradise_-_precinct_47_precinct_47_plot_number_47_very_near_to_park_and_market_in_bahria_town_karachi_offers_by_athar_associates-47013492-12066-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Paradise Residential Plots > Bahria Paradise - Precinct 47 Residential Plots,250.0,0.0,0.0,4600000.0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0
Residential Plot 47048207,https://www.zameen.com/Property/bahria_town_karachi_bahria_golf_city_precicnt-20_golf_plots_available_at_investor_rates_most_futuristic_and_credible_investment-47048207-8942-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Golf City Residential Plots,500.0,0.0,0.0,6500000.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1.0
Residential Plot 47188230,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_9_book_a_residential_plot_of_500_square_yards_in_bahria_town_-_precinct_9_karachi-47188230-10017-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 9 Residential Plots,500.0,0.0,0.0,15500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47060715,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_12_precint_12_272sq_yds_plot_avilable_for_sale_at_good_location_of_bahria_town_karachi-47060715-10022-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 12 Residential Plots,272.0,0.0,0.0,7000000.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1.0
Residential Plot 46996628,https://www.zameen.com/Property/bahria_town_karachi_bahria_hills_prime_500_sq_yd_plot_for_sale_in_bahria_town_karachi_-_your_dream_investment_opportunity-46996628-13173-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Hills Residential Plots,500.0,0.0,0.0,15000000.0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1.0
Residential Plot 47264104,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_22_a_residential_plot_of_272_square_yards_in_bahria_town_-_precinct_22-47264104-10035-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 22 Residential Plots,272.0,0.0,0.0,4500000.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
Residential Plot 47260145,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_14_residential_plot_sized_125_square_yards_in_bahria_town_-_precinct_14-47260145-10024-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 14 Residential Plots,125.0,0.0,0.0,4500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 46909205,https://www.zameen.com/Property/bahria_town_karachi_bahria_greens_farm_house_plot_for_sale_on_easy_installments_in_bahria_town_karachi-46909205-19066-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Greens Residential Plots,4000.0,0.0,0.0,40000000.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
Residential Plot 46656798,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_63_prime_location_125_square_yards_residential_plot_for_sale_in_karachi-46656798-20298-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 63 Residential Plots,125.0,0.0,0.0,1200000.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0.0
Residential Plot 46895323,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_21_highly-coveted_250_square_yards_residential_plot_is_available_in_bahria_town_-_precinct_21_for_sale-46895323-10034-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 21 Residential Plots,56789.01234,0.0,0.0,3500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47138168,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_6_residential_plot_sized_272_square_yards_available_in_bahria_town_-_precinct_6-47138168-10014-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 6 Residential Plots,56789.01234,0.0,0.0,10300000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1.0
Residential Plot 47089254,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_24_prime_location_residential_plot_spread_over_125_square_yards_in_bahria_town_-_precinct_24_available-47089254-10037-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 24 Residential Plots,56789.01234,0.0,0.0,3500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47177530,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_15_buy_a_prime_location_125_square_yards_residential_plot_for_sale_in_bahria_town_-_precinct_15-47177530-10025-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 15 Residential Plots,56789.01234,0.0,0.0,3800000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 46885004,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_1_precinct_1_plot_250_sq_yds_for_sale_in_bahria_town_karachi-46885004-10007-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 1 Residential Plots,272.0,0.0,0.0,12600000.0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1.0
Residential Plot 47310399,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_32_250_sq_yard_plot_available_for_sale_in_precinct_32_bahria_town_karachi-47310399-11687-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 32 Residential Plots,250.0,0.0,0.0,3000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46842772,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_31_chance_deal_plots_for_sale_in_bahria_town_karachi-46842772-10045-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 31 Residential Plots,125.0,0.0,0.0,2800000.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0
Residential Plot 47297924,https://www.zameen.com/Property/bahria_sports_city_bahria_town_-_precinct_36_500_sq_yard_plot_available_for_sale_in_precinct_36_bahria_town_karachi-47297924-11877-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Sports City Residential Plots > Bahria Town - Precinct 36 Residential Plots,500.0,0.0,0.0,8000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47089223,https://www.zameen.com/Property/bahria_paradise_bahria_paradise_-_precinct_47_prime_location_250_square_yards_residential_plot_in_bahria_paradise_-_precinct_47_best_option-47089223-12066-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Paradise Residential Plots > Bahria Paradise - Precinct 47 Residential Plots,56789.01234,0.0,0.0,7500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47167526,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_26-a_it_is_a_great_investment_option_is_125_sq_yard_plot_available_for_anyone_looking_to_invest_in_bahria_town_karachi-47167526-11733-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 26-A Residential Plots,125.0,0.0,0.0,2000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47301546,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_28_prime_125_sq_yd_plot_for_sale_in_bahria_town_karachi_-_your_dream_investment_opportunity-47301546-10042-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 28 Residential Plots,125.0,0.0,0.0,3000000.0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1.0
Commercial Plot 47057656,https://www.zameen.com/Property/bahria_town_precinct_12_bahria_town_-_ali_block_buy_a_centrally_located_prime_location_125_square_yards_commercial_plot_in_bahria_town_-_ali_block-47057656-10023-2.html,Karachi Commercial Plots > Bahria Town Karachi Commercial Plots > Bahria Town - Precinct 12 Commercial Plots > Bahria Town - Ali Block Commercial Plots,125.0,0.0,0.0,25000000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47102688,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_4_plot_available_for_sale_in_precinct_4-47102688-10013-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 4 Residential Plots,500.0,0.0,0.0,10300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47225585,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_20_500_square_yards_plot_up_for_sale_in_bahria_town_karachi_precinct_20_bahria_golf_city-47225585-10032-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 20 Residential Plots,500.0,0.0,0.0,7500000.0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0.0
Residential Plot 47114997,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_26-a_spacious_125_sq_yard_residential_plot_for_sale-47114997-11733-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 26-A Residential Plots,125.0,0.0,0.0,2200000.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0
Residential Plot 47300060,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_15_125_yards_residential_plot_for_sale_in_bahria_town_precinct_15-47300060-10025-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 15 Residential Plots,125.0,0.0,0.0,2700000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47174849,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_26-a_bahria_town_-_precinct_26-a_residential_plot_sized_125_square_yards_is_available-47174849-11733-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 26-A Residential Plots,56789.01234,0.0,0.0,2500000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
Residential Plot 47079487,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_-_precinct_27_perfect_prime_location_125_square_yards_residential_plot_in_bahria_town_-_precinct_27_for_sale-47079487-10040-2.html,Karachi Residential Plots > Bahria Town Karachi Residential Plots > Bahria Town - Precinct 27 Residential Plots,56789.01234,3.0,3.0,3400000.0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0
